"ZIP
code [1]",Size of adjusted gross income,Amount
50655,"$1 under $25,000",1572
50655,"$25,000 under $50,000",4045
50655,"$50,000 under $75,000",3684
50655,"$75,000 under $100,000",3163
50655,"$100,000 under $200,000",5908
50655,"$200,000 or more",**
,,
50658,,"59,907"
50658,"$1 under $25,000",4929
50658,"$25,000 under $50,000",10976
50658,"$50,000 under $75,000",13116
50658,"$75,000 under $100,000",11049
50658,"$100,000 under $200,000",12420
50658,"$200,000 or more",7417
,,
50659,,"179,371"
50659,"$1 under $25,000",10418
50659,"$25,000 under $50,000",25707
50659,"$50,000 under $75,000",25512
50659,"$75,000 under $100,000",27511
50659,"$100,000 under $200,000",38175
50659,"$200,000 or more",52048
,,
50660,,"34,117"
50660,"$1 under $25,000",2219
50660,"$25,000 under $50,000",4723
50660,"$50,000 under $75,000",6865
50660,"$75,000 under $100,000",7153
50660,"$100,000 under $200,000",13157
50660,"$200,000 or more",**
,,
50662,,"140,290"
50662,"$1 under $25,000",16662
50662,"$25,000 under $50,000",29730
50662,"$50,000 under $75,000",28962
50662,"$75,000 under $100,000",23158
50662,"$100,000 under $200,000",27826
50662,"$200,000 or more",13952
,,
50665,,"86,238"
50665,"$1 under $25,000",4645
50665,"$25,000 under $50,000",11377
50665,"$50,000 under $75,000",15888
50665,"$75,000 under $100,000",15140
50665,"$100,000 under $200,000",24833
50665,"$200,000 or more",14355
,,
50666,,"24,977"
50666,"$1 under $25,000",1741
50666,"$25,000 under $50,000",4735
50666,"$50,000 under $75,000",5639
50666,"$75,000 under $100,000",6261
50666,"$100,000 under $200,000",6601
50666,"$200,000 or more",**
,,
50667,,"25,847"
50667,"$1 under $25,000",1178
50667,"$25,000 under $50,000",3477
50667,"$50,000 under $75,000",4582
50667,"$75,000 under $100,000",5824
50667,"$100,000 under $200,000",10786
50667,"$200,000 or more",**
,,
50668,,"36,034"
50668,"$1 under $25,000",1972
50668,"$25,000 under $50,000",5202
50668,"$50,000 under $75,000",7481
50668,"$75,000 under $100,000",6958
50668,"$100,000 under $200,000",14421
50668,"$200,000 or more",**
,,
50669,,"83,885"
50669,"$1 under $25,000",3668
50669,"$25,000 under $50,000",9876
50669,"$50,000 under $75,000",11084
50669,"$75,000 under $100,000",15211
50669,"$100,000 under $200,000",24123
50669,"$200,000 or more",19923
,,
50670,,"54,838"
50670,"$1 under $25,000",3874
50670,"$25,000 under $50,000",8986
50670,"$50,000 under $75,000",11338
50670,"$75,000 under $100,000",12099
50670,"$100,000 under $200,000",18541
50670,"$200,000 or more",**
,,
50671,,"7,504"
50671,"$1 under $25,000",388
50671,"$25,000 under $50,000",1167
50671,"$50,000 under $75,000",1840
50671,"$75,000 under $100,000",4109
50671,"$100,000 under $200,000",**
50671,"$200,000 or more",**
,,
50672,,"16,148"
50672,"$1 under $25,000",1014
50672,"$25,000 under $50,000",2217
50672,"$50,000 under $75,000",3046
50672,"$75,000 under $100,000",3451
50672,"$100,000 under $200,000",6420
50672,"$200,000 or more",**
,,
50674,,"99,237"
50674,"$1 under $25,000",6461
50674,"$25,000 under $50,000",15630
50674,"$50,000 under $75,000",18211
50674,"$75,000 under $100,000",17523
50674,"$100,000 under $200,000",26640
50674,"$200,000 or more",14772
,,
50675,,"63,772"
50675,"$1 under $25,000",4342
50675,"$25,000 under $50,000",9192
50675,"$50,000 under $75,000",12295
50675,"$75,000 under $100,000",12680
50675,"$100,000 under $200,000",18706
50675,"$200,000 or more",6557
,,
50676,,"51,055"
50676,"$1 under $25,000",3516
50676,"$25,000 under $50,000",9055
50676,"$50,000 under $75,000",9818
50676,"$75,000 under $100,000",10197
50676,"$100,000 under $200,000",18469
50676,"$200,000 or more",**
,,
50677,,"366,818"
50677,"$1 under $25,000",19094
50677,"$25,000 under $50,000",39011
50677,"$50,000 under $75,000",55827
50677,"$75,000 under $100,000",63640
50677,"$100,000 under $200,000",111757
50677,"$200,000 or more",77489
,,
50680,,"33,516"
50680,"$1 under $25,000",1871
50680,"$25,000 under $50,000",5250
50680,"$50,000 under $75,000",6416
50680,"$75,000 under $100,000",5881
50680,"$100,000 under $200,000",14098
50680,"$200,000 or more",**
,,
50681,,"10,731"
50681,"$1 under $25,000",780
50681,"$25,000 under $50,000",2311
50681,"$50,000 under $75,000",2496
50681,"$75,000 under $100,000",1965
50681,"$100,000 under $200,000",3179
50681,"$200,000 or more",**
,,
50682,,"40,889"
50682,"$1 under $25,000",2433
50682,"$25,000 under $50,000",6810
50682,"$50,000 under $75,000",6892
50682,"$75,000 under $100,000",9060
50682,"$100,000 under $200,000",15694
50682,"$200,000 or more",**
,,
50701,,"912,921"
50701,"$1 under $25,000",64851
50701,"$25,000 under $50,000",140736
50701,"$50,000 under $75,000",137570
50701,"$75,000 under $100,000",126635
50701,"$100,000 under $200,000",224196
50701,"$200,000 or more",218933
,,
50702,,"414,213"
50702,"$1 under $25,000",49635
50702,"$25,000 under $50,000",113131
50702,"$50,000 under $75,000",98368
50702,"$75,000 under $100,000",72766
50702,"$100,000 under $200,000",67643
50702,"$200,000 or more",12670
,,
50703,,"298,251"
50703,"$1 under $25,000",52166
50703,"$25,000 under $50,000",92572
50703,"$50,000 under $75,000",63569
50703,"$75,000 under $100,000",37988
50703,"$100,000 under $200,000",43405
50703,"$200,000 or more",8551
,,
50707,,"158,529"
50707,"$1 under $25,000",20814
50707,"$25,000 under $50,000",41655
50707,"$50,000 under $75,000",37435
50707,"$75,000 under $100,000",30018
50707,"$100,000 under $200,000",28607
50707,"$200,000 or more",**
,,
50801,,"213,647"
50801,"$1 under $25,000",21600
50801,"$25,000 under $50,000",43421
50801,"$50,000 under $75,000",39055
50801,"$75,000 under $100,000",34871
50801,"$100,000 under $200,000",46878
50801,"$200,000 or more",27822
,,
50830,,"34,402"
50830,"$1 under $25,000",3135
50830,"$25,000 under $50,000",7237
50830,"$50,000 under $75,000",8005
50830,"$75,000 under $100,000",6304
50830,"$100,000 under $200,000",9721
50830,"$200,000 or more",**
,,
50833,,"46,430"
50833,"$1 under $25,000",4749
50833,"$25,000 under $50,000",9856
50833,"$50,000 under $75,000",11597
50833,"$75,000 under $100,000",9499
50833,"$100,000 under $200,000",10729
50833,"$200,000 or more",**
,,
50836,,"7,012"
50836,"$1 under $25,000",719
50836,"$25,000 under $50,000",1876
50836,"$50,000 under $75,000",1208
50836,"$75,000 under $100,000",3209
50836,"$100,000 under $200,000",**
50836,"$200,000 or more",**
,,
50837,,"7,076"
50837,"$1 under $25,000",755
50837,"$25,000 under $50,000",1608
50837,"$50,000 under $75,000",1584
50837,"$75,000 under $100,000",3129
50837,"$100,000 under $200,000",**
50837,"$200,000 or more",**
,,
50840,,"8,936"
50840,"$1 under $25,000",1176
50840,"$25,000 under $50,000",2591
50840,"$50,000 under $75,000",1672
50840,"$75,000 under $100,000",3497
50840,"$100,000 under $200,000",**
50840,"$200,000 or more",**
,,
50841,,"63,809"
50841,"$1 under $25,000",6449
50841,"$25,000 under $50,000",12483
50841,"$50,000 under $75,000",12394
50841,"$75,000 under $100,000",10274
50841,"$100,000 under $200,000",14486
50841,"$200,000 or more",7723
,,
50843,,"12,400"
50843,"$1 under $25,000",1010
50843,"$25,000 under $50,000",3612
50843,"$50,000 under $75,000",1864
50843,"$75,000 under $100,000",1740
50843,"$100,000 under $200,000",4174
50843,"$200,000 or more",**
,,
50845,,"14,059"
50845,"$1 under $25,000",1556
50845,"$25,000 under $50,000",3822
50845,"$50,000 under $75,000",2455
50845,"$75,000 under $100,000",3222
50845,"$100,000 under $200,000",3004
50845,"$200,000 or more",**
,,
50846,,"24,287"
50846,"$1 under $25,000",2298
50846,"$25,000 under $50,000",5758
50846,"$50,000 under $75,000",6210
50846,"$75,000 under $100,000",4841
50846,"$100,000 under $200,000",5180
50846,"$200,000 or more",**
,,
50848,,"5,574"
50848,"$1 under $25,000",571
50848,"$25,000 under $50,000",1500
50848,"$50,000 under $75,000",1529
50848,"$75,000 under $100,000",1974
50848,"$100,000 under $200,000",**
50848,"$200,000 or more",0
,,
50849,,"69,965"
50849,"$1 under $25,000",5541
50849,"$25,000 under $50,000",12863
50849,"$50,000 under $75,000",12839
50849,"$75,000 under $100,000",12669
50849,"$100,000 under $200,000",16493
50849,"$200,000 or more",9560
,,
50851,,"47,615"
50851,"$1 under $25,000",4825
50851,"$25,000 under $50,000",10240
50851,"$50,000 under $75,000",8195
50851,"$75,000 under $100,000",8352
50851,"$100,000 under $200,000",16003
50851,"$200,000 or more",**
,,
50853,,"15,329"
50853,"$1 under $25,000",1119
50853,"$25,000 under $50,000",2951
50853,"$50,000 under $75,000",3447
50853,"$75,000 under $100,000",2417
50853,"$100,000 under $200,000",5395
50853,"$200,000 or more",**
,,
50854,,"48,517"
50854,"$1 under $25,000",5340
50854,"$25,000 under $50,000",8626
50854,"$50,000 under $75,000",9587
50854,"$75,000 under $100,000",8210
50854,"$100,000 under $200,000",16754
50854,"$200,000 or more",**
,,
50857,,"6,338"
50857,"$1 under $25,000",410
50857,"$25,000 under $50,000",1666
50857,"$50,000 under $75,000",1231
50857,"$75,000 under $100,000",3031
50857,"$100,000 under $200,000",**
50857,"$200,000 or more",**
,,
50858,,"14,963"
50858,"$1 under $25,000",1794
50858,"$25,000 under $50,000",3499
50858,"$50,000 under $75,000",4617
50858,"$75,000 under $100,000",2621
50858,"$100,000 under $200,000",2432
50858,"$200,000 or more",**
,,
50859,,"13,236"
50859,"$1 under $25,000",1682
50859,"$25,000 under $50,000",2149
50859,"$50,000 under $75,000",2226
50859,"$75,000 under $100,000",3250
50859,"$100,000 under $200,000",3929
50859,"$200,000 or more",**
,,
50860,,"3,243"
50860,"$1 under $25,000",694
50860,"$25,000 under $50,000",2549
50860,"$50,000 under $75,000",**
50860,"$75,000 under $100,000",**
50860,"$100,000 under $200,000",**
50860,"$200,000 or more",0
,,
50861,,"4,869"
50861,"$1 under $25,000",778
50861,"$25,000 under $50,000",1622
50861,"$50,000 under $75,000",2469
50861,"$75,000 under $100,000",**
50861,"$100,000 under $200,000",**
50861,"$200,000 or more",**
,,
50864,,"43,053"
50864,"$1 under $25,000",4067
50864,"$25,000 under $50,000",7746
50864,"$50,000 under $75,000",8767
50864,"$75,000 under $100,000",9705
50864,"$100,000 under $200,000",12768
50864,"$200,000 or more",**
,,
51001,,"54,528"
51001,"$1 under $25,000",3944
51001,"$25,000 under $50,000",8884
51001,"$50,000 under $75,000",10712
51001,"$75,000 under $100,000",9622
51001,"$100,000 under $200,000",21366
51001,"$200,000 or more",**
,,
51002,,"77,915"
51002,"$1 under $25,000",4803
51002,"$25,000 under $50,000",13054
51002,"$50,000 under $75,000",13253
51002,"$75,000 under $100,000",14300
51002,"$100,000 under $200,000",19920
51002,"$200,000 or more",12585
,,
51003,,"46,991"
51003,"$1 under $25,000",2646
51003,"$25,000 under $50,000",7103
51003,"$50,000 under $75,000",9162
51003,"$75,000 under $100,000",9670
51003,"$100,000 under $200,000",18410
51003,"$200,000 or more",**
,,
51004,,"26,540"
51004,"$1 under $25,000",2231
51004,"$25,000 under $50,000",3824
51004,"$50,000 under $75,000",6167
51004,"$75,000 under $100,000",3663
51004,"$100,000 under $200,000",10655
51004,"$200,000 or more",**
,,
51005,,"43,998"
51005,"$1 under $25,000",2513
51005,"$25,000 under $50,000",6140
51005,"$50,000 under $75,000",7579
51005,"$75,000 under $100,000",7600
51005,"$100,000 under $200,000",13253
51005,"$200,000 or more",6913
,,
51006,,"22,742"
51006,"$1 under $25,000",1952
51006,"$25,000 under $50,000",4701
51006,"$50,000 under $75,000",5318
51006,"$75,000 under $100,000",3773
51006,"$100,000 under $200,000",6998
51006,"$200,000 or more",**
,,
51007,,"21,965"
51007,"$1 under $25,000",1294
51007,"$25,000 under $50,000",2347
51007,"$50,000 under $75,000",3011
51007,"$75,000 under $100,000",4343
51007,"$100,000 under $200,000",10970
51007,"$200,000 or more",**
,,
51010,,"10,650"
51010,"$1 under $25,000",1181
51010,"$25,000 under $50,000",2075
51010,"$50,000 under $75,000",2502
51010,"$75,000 under $100,000",4892
51010,"$100,000 under $200,000",**
51010,"$200,000 or more",**
,,
51012,,"173,053"
51012,"$1 under $25,000",13660
51012,"$25,000 under $50,000",29311
51012,"$50,000 under $75,000",29029
51012,"$75,000 under $100,000",27691
51012,"$100,000 under $200,000",42268
51012,"$200,000 or more",31094
,,
51014,,"19,241"
51014,"$1 under $25,000",745
51014,"$25,000 under $50,000",2518
51014,"$50,000 under $75,000",2563
51014,"$75,000 under $100,000",2965
51014,"$100,000 under $200,000",10450
51014,"$200,000 or more",**
,,
51016,,"31,869"
51016,"$1 under $25,000",2438
51016,"$25,000 under $50,000",6000
51016,"$50,000 under $75,000",5980
51016,"$75,000 under $100,000",4518
51016,"$100,000 under $200,000",12933
51016,"$200,000 or more",**
,,
51018,,"8,653"
51018,"$1 under $25,000",704
51018,"$25,000 under $50,000",1903
51018,"$50,000 under $75,000",1947
51018,"$75,000 under $100,000",4099
51018,"$100,000 under $200,000",**
51018,"$200,000 or more",**
,,
51019,,"22,867"
51019,"$1 under $25,000",1399
51019,"$25,000 under $50,000",3500
51019,"$50,000 under $75,000",3363
51019,"$75,000 under $100,000",4070
51019,"$100,000 under $200,000",10535
51019,"$200,000 or more",**
,,
51020,,"20,561"
51020,"$1 under $25,000",1095
51020,"$25,000 under $50,000",2755
51020,"$50,000 under $75,000",2492
51020,"$75,000 under $100,000",2878
51020,"$100,000 under $200,000",11341
51020,"$200,000 or more",**
,,
51022,,"21,533"
51022,"$1 under $25,000",1588
51022,"$25,000 under $50,000",3583
51022,"$50,000 under $75,000",4168
51022,"$75,000 under $100,000",4035
51022,"$100,000 under $200,000",8159
51022,"$200,000 or more",**
,,
51023,,"68,916"
51023,"$1 under $25,000",6414
51023,"$25,000 under $50,000",13970
51023,"$50,000 under $75,000",14784
51023,"$75,000 under $100,000",10870
51023,"$100,000 under $200,000",14291
51023,"$200,000 or more",8587
,,
51024,,"69,978"
51024,"$1 under $25,000",3220
51024,"$25,000 under $50,000",7969
51024,"$50,000 under $75,000",9721
51024,"$75,000 under $100,000",12137
51024,"$100,000 under $200,000",23984
51024,"$200,000 or more",12947
,,
51025,,"62,057"
51025,"$1 under $25,000",3278
51025,"$25,000 under $50,000",7620
51025,"$50,000 under $75,000",11315
51025,"$75,000 under $100,000",10174
51025,"$100,000 under $200,000",16004
51025,"$200,000 or more",13666
,,
51026,,"20,828"
51026,"$1 under $25,000",1541
51026,"$25,000 under $50,000",3611
51026,"$50,000 under $75,000",4216
51026,"$75,000 under $100,000",3377
51026,"$100,000 under $200,000",8083
51026,"$200,000 or more",**
,,
51027,,"33,713"
51027,"$1 under $25,000",1829
51027,"$25,000 under $50,000",4534
51027,"$50,000 under $75,000",6577
51027,"$75,000 under $100,000",6002
51027,"$100,000 under $200,000",8200
51027,"$200,000 or more",6571
,,
51028,,"62,686"
51028,"$1 under $25,000",3555
51028,"$25,000 under $50,000",8705
51028,"$50,000 under $75,000",9984
51028,"$75,000 under $100,000",9461
51028,"$100,000 under $200,000",16801
51028,"$200,000 or more",14180
,,
51029,,"7,343"
51029,"$1 under $25,000",513
51029,"$25,000 under $50,000",1758
51029,"$50,000 under $75,000",1622
51029,"$75,000 under $100,000",3450
51029,"$100,000 under $200,000",**
51029,"$200,000 or more",**
,,
51030,,"55,991"
51030,"$1 under $25,000",2809
51030,"$25,000 under $50,000",5309
51030,"$50,000 under $75,000",7904
51030,"$75,000 under $100,000",10259
51030,"$100,000 under $200,000",20472
51030,"$200,000 or more",9238
,,
51031,,"371,414"
51031,"$1 under $25,000",23408
51031,"$25,000 under $50,000",52506
51031,"$50,000 under $75,000",60186
51031,"$75,000 under $100,000",62260
51031,"$100,000 under $200,000",98919
51031,"$200,000 or more",74135
,,
51033,,"13,073"
51033,"$1 under $25,000",712
51033,"$25,000 under $50,000",2556
51033,"$50,000 under $75,000",2716
51033,"$75,000 under $100,000",2481
51033,"$100,000 under $200,000",4608
51033,"$200,000 or more",**
,,
51034,,"45,702"
51034,"$1 under $25,000",3882
51034,"$25,000 under $50,000",7819
51034,"$50,000 under $75,000",8691
51034,"$75,000 under $100,000",6525
51034,"$100,000 under $200,000",9294
51034,"$200,000 or more",9491
,,
51035,,"50,618"
51035,"$1 under $25,000",2864
51035,"$25,000 under $50,000",6979
51035,"$50,000 under $75,000",8668
51035,"$75,000 under $100,000",8981
51035,"$100,000 under $200,000",13149
51035,"$200,000 or more",9977
,,
51036,,"21,668"
51036,"$1 under $25,000",873
51036,"$25,000 under $50,000",3237
51036,"$50,000 under $75,000",4034
51036,"$75,000 under $100,000",2833
51036,"$100,000 under $200,000",10691
51036,"$200,000 or more",**
,,
51037,,"10,021"
51037,"$1 under $25,000",604
51037,"$25,000 under $50,000",2018
51037,"$50,000 under $75,000",2846
51037,"$75,000 under $100,000",**
51037,"$100,000 under $200,000",4553
51037,"$200,000 or more",**
,,
51038,,"43,334"
51038,"$1 under $25,000",2356
51038,"$25,000 under $50,000",7433
51038,"$50,000 under $75,000",10138
51038,"$75,000 under $100,000",6873
51038,"$100,000 under $200,000",16534
51038,"$200,000 or more",**
,,
51039,,"74,114"
51039,"$1 under $25,000",4569
51039,"$25,000 under $50,000",8957
51039,"$50,000 under $75,000",11512
51039,"$75,000 under $100,000",13516
51039,"$100,000 under $200,000",22579
51039,"$200,000 or more",12981
,,
51040,,"85,227"
51040,"$1 under $25,000",8041
51040,"$25,000 under $50,000",15988
51040,"$50,000 under $75,000",14032
51040,"$75,000 under $100,000",11860
51040,"$100,000 under $200,000",18997
51040,"$200,000 or more",16309
,,
51041,,"210,248"
51041,"$1 under $25,000",9792
51041,"$25,000 under $50,000",22708
51041,"$50,000 under $75,000",32267
51041,"$75,000 under $100,000",31565
51041,"$100,000 under $200,000",45738
51041,"$200,000 or more",68178
,,
51044,,"4,545"
51044,"$1 under $25,000",408
51044,"$25,000 under $50,000",1305
51044,"$50,000 under $75,000",2832
51044,"$75,000 under $100,000",**
51044,"$100,000 under $200,000",**
51044,"$200,000 or more",**
,,
51046,,"44,447"
51046,"$1 under $25,000",3452
51046,"$25,000 under $50,000",8515
51046,"$50,000 under $75,000",9011
51046,"$75,000 under $100,000",7308
51046,"$100,000 under $200,000",16161
51046,"$200,000 or more",**
,,
51047,,"16,175"
51047,"$1 under $25,000",1052
51047,"$25,000 under $50,000",2993
51047,"$50,000 under $75,000",3017
51047,"$75,000 under $100,000",3943
51047,"$100,000 under $200,000",5170
51047,"$200,000 or more",**
,,
51048,,"15,632"
51048,"$1 under $25,000",1194
51048,"$25,000 under $50,000",2633
51048,"$50,000 under $75,000",2611
